
step 0: train loss 3.1695, val loss 3.1715
iter 4150: loss 0.5385, time 117.54ms, mfu 3.09%
iter 4160: loss 0.5417, time 116.49ms, mfu 3.10%
iter 4170: loss 0.5524, time 118.49ms, mfu 3.10%
iter 4180: loss 0.5440, time 117.94ms, mfu 3.11%
iter 4190: loss 0.5303, time 118.19ms, mfu 3.11%
iter 4200: loss 0.5386, time 118.48ms, mfu 3.11%
iter 4210: loss 0.5290, time 117.90ms, mfu 3.12%
iter 4220: loss 0.5460, time 118.12ms, mfu 3.12%
iter 4230: loss 0.5405, time 119.54ms, mfu 3.12%
iter 4240: loss 0.5526, time 117.83ms, mfu 3.12%
step 4250: train loss 0.5277, val loss 0.5305
saving checkpoint to out-nd-accel
iter 4250: loss 0.5469, time 11862.06ms, mfu 2.81%
iter 4260: loss 0.5174, time 117.72ms, mfu 2.85%
iter 4270: loss 0.5396, time 117.64ms, mfu 2.88%
iter 4280: loss 0.5455, time 118.79ms, mfu 2.91%
iter 4290: loss 0.5394, time 117.31ms, mfu 2.93%
iter 4300: loss 0.5355, time 117.89ms, mfu 2.95%
iter 4310: loss 0.5344, time 117.93ms, mfu 2.98%
iter 4320: loss 0.5174, time 119.50ms, mfu 2.99%
iter 4330: loss 0.5433, time 118.24ms, mfu 3.00%
iter 4340: loss 0.5273, time 119.06ms, mfu 3.02%
iter 4350: loss 0.5314, time 118.97ms, mfu 3.03%
iter 4360: loss 0.5301, time 118.88ms, mfu 3.04%
iter 4370: loss 0.5356, time 118.96ms, mfu 3.05%
iter 4380: loss 0.5359, time 118.82ms, mfu 3.06%
iter 4390: loss 0.5121, time 117.10ms, mfu 3.07%
iter 4400: loss 0.5452, time 118.15ms, mfu 3.08%
iter 4410: loss 0.5409, time 118.78ms, mfu 3.08%
iter 4420: loss 0.5444, time 120.54ms, mfu 3.08%
iter 4430: loss 0.5383, time 117.20ms, mfu 3.09%
iter 4440: loss 0.5413, time 117.63ms, mfu 3.10%
iter 4450: loss 0.5334, time 117.23ms, mfu 3.11%
iter 4460: loss 0.5351, time 119.37ms, mfu 3.11%
iter 4470: loss 0.5513, time 117.38ms, mfu 3.11%
iter 4480: loss 0.5277, time 118.50ms, mfu 3.12%
iter 4490: loss 0.5271, time 118.61ms, mfu 3.12%
step 4500: train loss 0.5277, val loss 0.5294
saving checkpoint to out-nd-accel
iter 4500: loss 0.5322, time 11880.73ms, mfu 2.81%
iter 4510: loss 0.5478, time 118.86ms, mfu 2.84%
iter 4520: loss 0.5453, time 118.69ms, mfu 2.87%
iter 4530: loss 0.5425, time 116.72ms, mfu 2.90%
iter 4540: loss 0.5438, time 118.18ms, mfu 2.93%
iter 4550: loss 0.5444, time 117.63ms, mfu 2.95%
iter 4560: loss 0.5241, time 118.04ms, mfu 2.97%
iter 4570: loss 0.5280, time 118.78ms, mfu 2.99%
iter 4580: loss 0.5386, time 119.61ms, mfu 3.00%
iter 4590: loss 0.5370, time 118.23ms, mfu 3.01%
iter 4600: loss 0.5483, time 120.10ms, mfu 3.02%
iter 4610: loss 0.5440, time 119.37ms, mfu 3.03%
iter 4620: loss 0.5408, time 118.99ms, mfu 3.04%
iter 4630: loss 0.5408, time 117.64ms, mfu 3.05%
iter 4640: loss 0.5266, time 119.24ms, mfu 3.06%
iter 4650: loss 0.5453, time 117.61ms, mfu 3.07%
iter 4660: loss 0.5348, time 117.94ms, mfu 3.08%
iter 4670: loss 0.5482, time 118.50ms, mfu 3.09%
iter 4680: loss 0.5372, time 121.10ms, mfu 3.08%
iter 4690: loss 0.5164, time 118.81ms, mfu 3.09%
iter 4700: loss 0.5264, time 117.89ms, mfu 3.10%
iter 4710: loss 0.5333, time 117.62ms, mfu 3.10%
iter 4720: loss 0.5264, time 118.64ms, mfu 3.11%
iter 4730: loss 0.5267, time 117.82ms, mfu 3.11%
iter 4740: loss 0.5297, time 118.78ms, mfu 3.11%
step 4750: train loss 0.5277, val loss 0.5291
saving checkpoint to out-nd-accel
iter 4750: loss 0.5195, time 11873.09ms, mfu 2.81%
iter 4760: loss 0.5312, time 119.30ms, mfu 2.84%
iter 4770: loss 0.5301, time 119.57ms, mfu 2.86%
iter 4780: loss 0.5368, time 118.49ms, mfu 2.89%
iter 4790: loss 0.5184, time 119.28ms, mfu 2.91%
iter 4800: loss 0.5279, time 117.89ms, mfu 2.94%
iter 4810: loss 0.5398, time 119.01ms, mfu 2.96%
iter 4820: loss 0.5284, time 117.81ms, mfu 2.98%
iter 4830: loss 0.5451, time 119.26ms, mfu 2.99%
iter 4840: loss 0.5161, time 117.82ms, mfu 3.01%
iter 4850: loss 0.5290, time 119.48ms, mfu 3.02%
iter 4860: loss 0.5345, time 116.67ms, mfu 3.04%
iter 4870: loss 0.5309, time 119.20ms, mfu 3.04%
iter 4880: loss 0.5312, time 119.34ms, mfu 3.05%
iter 4890: loss 0.5387, time 117.67ms, mfu 3.06%
iter 4900: loss 0.5398, time 117.09ms, mfu 3.07%
iter 4910: loss 0.5367, time 118.86ms, mfu 3.08%
iter 4920: loss 0.5488, time 118.27ms, mfu 3.09%
iter 4930: loss 0.5302, time 119.86ms, mfu 3.09%
iter 4940: loss 0.5200, time 118.39ms, mfu 3.09%
iter 4950: loss 0.5324, time 118.99ms, mfu 3.10%
iter 4960: loss 0.5180, time 118.82ms, mfu 3.10%
iter 4970: loss 0.5322, time 118.93ms, mfu 3.10%
iter 4980: loss 0.5331, time 119.78ms, mfu 3.10%
iter 4990: loss 0.5169, time 116.62ms, mfu 3.11%
step 5000: train loss 0.5263, val loss 0.5277
saving checkpoint to out-nd-accel
iter 5000: loss 0.5360, time 11880.87ms, mfu 2.80%
